,r_name,r_level,r_star,r_creativity,r_decisionMaking,r_affinity,r_execution,r_upgrade,r_chid
伪装者,pretender,40,5,63,1693,2089,2205,TRUE,4
心弦之音,Heart sound,40,5,2504,1064,2424,58,TRUE,3
兜帽党,Hood party,40,5,1061,2212,63,2714,TRUE,2
思考者,Thinker,40,5,2291,1784,1912,63,TRUE,2
调查,investigate,40,5,1073,2224,58,2695,TRUE,2
为你而歌,Song for you,40,5,2521,58,978,2492,TRUE,4
完美线条,Perfect bodyshape,40,5,62,1041,2495,2451,TRUE,4
幻想者,Fantasy,40,5,2589,2424,974,62,TRUE,4
甜蜜心情,Sweet mood,40,5,1160,59,3610,1220,TRUE,4
调教,Tune,40,5,1200,1262,58,3529,TRUE,3
推理,inference,40,5,2507,1712,59,1771,TRUE,2
锐气,Sharp,40,5,1711,2367,56,1915,TRUE,2
心平气和,Peace of mind,40,5,2386,2631,58,974,TRUE,1
暖心雪夜,Warm snow night,40,5,1782,60,2314,1893,TRUE,1
礼物,Gift,40,5,1883,62,2322,1782,TRUE,1
科学之美,The beauty of science,40,5,2695,971,59,2324,TRUE,1
专业力量,Professional strength,40,5,2034,2304,62,1648,TRUE,4
两同心,Two concentric,40,5,1392,2418,2179,59,TRUE,4
你的存在,Your presence,40,5,1927,1789,2270,62,TRUE,4
夏日香气,Summer aroma,40,5,1941,56,2338,1713,TRUE,4
快乐根源,Happy roots,40,5,1796,2269,1927,56,TRUE,4
独家定制,Exclusive customization,40,5,2525,59,2420,1044,TRUE,4
电台迷踪,Radio track,40,5,1711,63,2102,2172,TRUE,4
等你回信,Wait for your reply,40,5,1160,59,1233,3596,TRUE,4
情不自禁,Can't help,40,5,1800,63,2179,2006,TRUE,3
意无悔,No regrets,40,5,2418,1392,59,2179,TRUE,3
易如反掌,Easy,40,5,2392,2598,62,996,TRUE,3
稚气可贵,Childish and valuable,40,5,1835,2167,1987,59,TRUE,3
红包,Red envelope,40,5,59,2012,2208,1769,TRUE,3
绅士运动,Gentleman movement,40,5,58,1716,2375,1899,TRUE,3
雨天印记,Rainy day mark,40,5,1271,58,1219,3500,TRUE,3
面露难色,Difficult to face,40,5,1825,2335,59,1829,TRUE,3
黑胶唱片,Vinyl Records,40,5,1905,2386,1695,62,TRUE,3
任性邀约,Arbitrary invitation,40,5,59,2244,2034,1711,TRUE,2
侠客行,Knights,40,5,2179,1392,59,2418,TRUE,2
冬日花火,Winter fire,40,5,1840,62,2318,1828,TRUE,2
握紧的拳,Clenched fist,40,5,623,587,58,4780,TRUE,2
特警日常,Special police daily,40,5,56,1825,2175,1992,TRUE,2
甜蜜如你,Sweet as you,40,5,2414,971,2607,56,TRUE,2
眼前一亮,Brighten your eyes,40,5,1702,2241,2043,62,TRUE,2
砥砺,砥砺,40,5,62,1953,1847,2186,TRUE,2
味蕾烙印,Taste brand,40,5,1255,58,3584,1151,TRUE,1
和我约会,Dating with me,40,5,62,1779,1915,2292,TRUE,1
噩梦驱赶,Nightmare,40,5,63,1679,2433,1873,TRUE,1
心上人,Sweetheart,40,5,59,2179,2418,1392,TRUE,1
我的晴天,My sunny day,40,5,2335,63,1958,1692,TRUE,1
打造,Build,40,5,65,1789,2324,1870,TRUE,1
把手给我,Give me the handle,40,5,2117,56,2082,1793,TRUE,1
理智与情感,Reason and emotion,40,5,1821,2263,58,1906,TRUE,1
织梦者,Dreamer,40,5,1902,1869,59,2218,TRUE,1
乐天派,optimist,40,5,58,2040,1847,2102,TRUE,4
你的样子,how you look like,40,5,1900,59,2327,1761,TRUE,4
新年大吉,New Year's Day,40,5,1702,63,2395,1887,TRUE,4
棉花与糖,Cotton and sugar,40,5,2212,59,1000,2776,TRUE,4
焦点,focus,40,5,2179,1880,59,1929,TRUE,4
绚烂时刻,Splendid moment,40,5,2338,58,1948,1703,TRUE,4
不苟,careful,40,5,3511,1229,1248,59,TRUE,3
分秒之间,Between minutes and seconds,40,5,2179,1880,59,1929,TRUE,3
午餐日常,Lunch everyday,40,5,59,1779,2488,1721,TRUE,3
右手边的你,You on the right hand side,40,5,63,1146,1174,3664,TRUE,3
味蕾之爱,Taste bud love,40,5,2183,59,1741,2064,TRUE,3
契约,contract,40,5,2401,1795,62,1789,TRUE,3
心灵博弈,Mind game,40,5,2579,2351,59,1058,TRUE,3
思索,thinking,40,5,1705,2454,1825,63,TRUE,3
总裁装备,President equipment,40,5,59,2221,1713,2054,TRUE,3
特殊任务,Special task,40,5,1769,1889,58,2331,TRUE,3
风度,demeanor,40,5,1880,1929,59,2179,TRUE,3
一对一审讯,One-on-one trial,40,5,2043,2219,60,1725,TRUE,2
不羁的心,Unruly heart,40,5,62,2720,983,2282,TRUE,2
冷暖,Warm and cold,40,5,60,1241,1219,3527,TRUE,2
出征,Expedition,40,5,1850,2299,60,1838,TRUE,2
回忆解锁,Memories unlock,40,5,2306,58,1651,2032,TRUE,2
左右为难,Difficult left and right,40,5,59,2263,1015,2710,TRUE,2
悠闲假期,Leisure holiday,40,5,1892,59,1900,2196,TRUE,2
意乱,Distracted,40,5,964,2708,63,2312,TRUE,2
无往不胜,Invincible,40,5,1905,2003,59,2080,TRUE,2
樱雨,Sakura rain,40,5,59,2069,1800,2119,TRUE,2
洗白白,Wash white,40,5,59,2344,1725,1919,TRUE,2
热身,warm up,40,5,1189,1162,63,3633,TRUE,2
率性,Rate,40,5,60,1645,2370,1972,TRUE,2
眼中的你,You in the eye,40,5,62,1815,2209,1961,TRUE,2
糖分过度,Excessive sugar,40,5,1929,59,2179,1880,TRUE,2
耍帅高手,Playing handsome master,40,5,2472,2512,56,1007,TRUE,2
致敬吃货,Pay tribute to the food,40,5,58,1690,2283,2016,TRUE,2
踌躇,hesitate,40,5,1051,2507,2433,56,TRUE,2
逆风,against the wind,40,5,1674,1909,56,2408,TRUE,2
回眸,Look back,40,5,1803,2118,2070,56,TRUE,1
将军,General,40,5,2392,1877,1716,62,TRUE,1
想象之外,Imaginary,40,5,2201,1879,1908,59,TRUE,1
教授在上,Professor is on,40,5,1816,2391,58,1782,TRUE,1
注定,Destined,40,5,2540,1724,62,1721,TRUE,1
片刻犹疑,Suspicion for a moment,40,5,999,2322,56,2670,TRUE,1
眼中世界,Eye world,40,5,62,1242,1145,3598,TRUE,1
蝶舞,Butterfly dance,40,5,1840,60,2115,2032,TRUE,1
记录,recording,40,5,2707,62,2237,1041,TRUE,1
读你,Read you,40,5,59,1834,2101,2053,TRUE,1
选择困难,Hard to choose,40,5,60,2005,1819,2163,TRUE,1
静静等待,Waiting quietly,40,5,58,1711,2083,2195,TRUE,1
偶像潮流,Idol trend,40,5,2190,1911,62,1883,TRUE,4
偶遇,Encounter,40,5,2480,60,1055,2451,TRUE,4
入眠,Sleep,40,5,59,1850,1831,2306,TRUE,4
半分海蓝,Half-blue,40,5,59,1899,2215,1873,TRUE,4
可爱多,So much cuter,40,5,3353,1332,59,1302,TRUE,4
完美礼服,Perfect dress,40,5,1793,2279,1914,60,TRUE,4
意外惊喜,unexpected surprise,40,5,1822,60,2040,2124,TRUE,4
慌乱,Panic,40,5,2683,56,2277,1030,TRUE,4
承诺,committed to,40,5,60,1816,2357,1813,TRUE,4
晴夜,Sunny night,40,5,59,2164,1986,1837,TRUE,4
温暖星光,Warm starlight,40,5,2282,1935,60,1769,TRUE,4
退烧神器,Antipyretic artifact,40,5,1860,1771,2356,59,TRUE,4
不要说话,do not speak,40,5,964,2688,60,2334,TRUE,3
冰山气场,Iceberg gas field,40,5,1684,2402,60,1900,TRUE,3
卸下心防,Remove the heart,40,5,63,1702,2527,1754,TRUE,3
品味,taste,40,5,2320,1010,2654,62,TRUE,3
审视,Review,40,5,2608,2305,59,1074,TRUE,3
小学霸,Primary school,40,5,59,3353,1302,1332,TRUE,3
整装待发,All ready to go,40,5,1078,2437,59,2472,TRUE,3
时间掌控者,Time controller,40,5,1007,2581,62,2396,TRUE,3
星灯之下,Under the star lights,40,5,1790,1893,2304,59,TRUE,3
狂澜之后,After arrogance,40,5,1906,2192,59,1889,TRUE,3
美味关系,Delicious relationship,40,5,1767,60,2353,1866,TRUE,3
宽衣,undress,40,5,1682,56,2080,2228,TRUE,2
弹无虚发,No flicker,40,5,1249,1254,59,3484,TRUE,2
微醺甜梦,Sweet dreams,40,5,2251,1892,59,1844,TRUE,2
皮皮白,Pippi white,40,5,1302,59,1332,3353,TRUE,2
乖乖吃药,Taking medicine,40,5,60,2418,1914,1654,TRUE,1
小百科,Small encyclopedia,40,5,1332,1302,3353,59,TRUE,1
收藏回忆,Collection memories,40,5,2779,62,2215,990,TRUE,1
新职业,New occupation,40,5,56,2167,2076,1747,TRUE,1
治愈师,Healer,40,5,2509,59,2414,1064,TRUE,1
灼夏,Burning summer,40,5,63,2283,1883,1816,TRUE,4
甜蜜共犯,Sweet accomplice,40,5,60,991,2627,2367,TRUE,4
醉心创作,Intoxicated creation,40,5,2586,980,59,2420,TRUE,4
休闲,Leisure,40,5,1771,62,2061,2151,TRUE,3
烦恼,upset,40,5,1645,1906,2438,56,TRUE,2
养你,Raise you,40,5,1834,1822,62,2327,TRUE,1
恶作剧,mischief,40,5,59,2195,1993,1798,TRUE,1
牛奶惩罚,Milk punishment,40,5,56,1255,3510,1223,TRUE,4
贪睡,Snooze,40,5,588,568,4829,59,TRUE,4
